 TITLE="parade results"
 VARIABLES="wavl","emis","absco"
 ZONE I=        4000, F=POINT
      900.752        4.048419E+13     31.1233
      900.980        4.063377E+13     31.1470
      901.209        4.078389E+13     31.1706
      901.437        4.093454E+13     31.1944
      901.666        4.108573E+13     31.2181
      901.895        4.123750E+13     31.2419
      902.124        4.138981E+13     31.2657
      902.353        4.154269E+13     31.2895
      902.582        4.169613E+13     31.3133
      902.811        4.185013E+13     31.3372
      903.040        4.200470E+13     31.3611
      903.270        4.215985E+13     31.3850
      903.500        4.231556E+13     31.4089
      903.729        4.247180E+13     31.4329
      903.959        4.262863E+13     31.4569
      904.189        4.278602E+13     31.4809
      904.419        4.294400E+13     31.5049
      904.649        4.310256E+13     31.5290
      904.879        4.326170E+13     31.5531
      905.110        4.342142E+13     31.5772
      905.340        4.358174E+13     31.6013
      905.571        4.374264E+13     31.6255
      905.802        4.390413E+13     31.6496
      906.033        4.406622E+13     31.6738
      906.264        4.422890E+13     31.6981
      906.495        4.439218E+13     31.7224
      906.726        4.455602E+13     31.7466
      906.957        4.472046E+13     31.7709
      907.189        4.488550E+13     31.7952
      907.420        4.505115E+13     31.8196
      907.652        4.521741E+13     31.8440
      907.884        4.538427E+13     31.8684
      908.116        4.555175E+13     31.8928
      908.348        4.571986E+13     31.9173
      908.580        4.588857E+13     31.9418
      908.812        4.605790E+13     31.9663
      909.045        4.622785E+13     31.9908
      909.277        4.639842E+13     32.0154
      909.510        4.656962E+13     32.0399
      909.743        4.674145E+13     32.0646
      909.976        4.691391E+13     32.0892
      910.209        4.708701E+13     32.1139
      910.442        4.726073E+13     32.1385
      910.675        4.743509E+13     32.1632
      910.908        4.761004E+13     32.1880
      911.142        4.778563E+13     32.2127
      911.375        4.796188E+13     32.2375
      911.609        4.813876E+13     32.2623
      911.843        4.831629E+13     32.2872
      912.077        4.849448E+13     32.3120
      912.311        4.867331E+13     32.3369
      912.545        4.885280E+13     32.3618
      912.780        4.903294E+13     32.3867
      913.014        4.921375E+13     32.4117
      913.249        4.939522E+13     32.4367
      913.483        4.957734E+13     32.4617
      913.718        4.976014E+13     32.4867
      913.953        4.995317E+13     32.5179
      914.188        5.014062E+13     32.5451
      914.423        5.036199E+13     32.5934
      914.658        5.056886E+13     32.6322
      914.894        5.079533E+13     32.6830
      915.129        5.112726E+13     32.8002
      915.365        5.170782E+13     33.0757
      915.601        7.141110E+15     4555.11
      915.837        5.504347E+13     35.0040
