y rho t u v xe xN xO xN2 xNO xO2 xN2p xNOp xNp xO2p xOp
97  
 7.670780E-02 2.942215E-03 2.335863E+03 2.750154E+02 2.133994E+00 9.945327E-10 6.152553E-07 2.143714E-02 7.732967E-01 1.647011E-02 1.887954E-01 0.000000E+00 9.944525E-10 0.000000E+00 9.966711E-14 0.000000E+00
 7.506148E-02 2.737755E-03 2.484525E+03 2.865185E+02 1.881347E+00 7.390812E-09 4.212412E-06 5.303191E-02 7.589182E-01 2.026086E-02 1.677848E-01 0.000000E+00 7.389928E-09 0.000000E+00 1.319564E-12 0.000000E+00
 7.341516E-02 2.533454E-03 2.633092E+03 2.980187E+02 1.631722E+00 1.380588E-08 7.819733E-06 8.464976E-02 7.445325E-01 2.404759E-02 1.467623E-01 0.000000E+00 1.380419E-08 0.000000E+00 2.541817E-12 0.000000E+00
 7.176884E-02 2.361235E-03 2.763697E+03 3.079652E+02 1.415357E+00 4.582510E-08 2.574851E-05 1.255556E-01 7.275770E-01 2.561075E-02 1.212308E-01 0.000000E+00 4.581496E-08 0.000000E+00 1.088814E-11 0.000000E+00
 7.012253E-02 2.208216E-03 2.883462E+03 3.169623E+02 1.218692E+00 9.294516E-08 5.208426E-05 1.721719E-01 7.090299E-01 2.583086E-02 9.291502E-02 0.000000E+00 9.292209E-08 0.000000E+00 2.341679E-11 0.000000E+00
 6.847622E-02 2.049816E-03 3.024491E+03 3.256942E+02 9.856936E-01 3.036518E-07 2.175506E-04 2.187978E-01 6.908479E-01 2.506368E-02 6.507245E-02 2.541906E-13 3.035662E-07 3.145455E-14 7.393322E-11 1.140585E-11
 6.682990E-02 1.859245E-03 3.269476E+03 3.333316E+02 5.798393E-01 1.200047E-06 9.428415E-04 2.672111E-01 6.737867E-01 1.963908E-02 3.841789E-02 1.254591E-12 1.199700E-06 7.494105E-14 2.895178E-10 5.605413E-11
 6.518358E-02 1.668908E-03 3.514920E+03 3.409613E+02 1.749280E-01 2.108669E-06 1.680453E-03 3.153999E-01 6.568068E-01 1.420711E-02 1.190157E-02 2.298244E-12 2.108057E-06 1.294648E-13 5.074501E-10 1.026603E-10
 6.353726E-02 1.533391E-03 3.786463E+03 3.473050E+02 -2.819446E-01 7.993396E-06 9.088187E-03 3.304252E-01 6.460889E-01 1.049776E-02 3.883916E-03 3.848879E-10 7.983496E-06 2.680383E-10 1.439136E-09 7.808767E-09
 6.189095E-02 1.413662E-03 4.067708E+03 3.532387E+02 -8.180579E-01 1.493598E-05 1.774119E-02 3.353837E-01 6.379963E-01 7.259146E-03 1.589853E-03 7.356730E-10 1.491679E-05 4.752295E-10 2.540298E-09 1.543805E-08
 6.024463E-02 1.297012E-03 4.360024E+03 3.600276E+02 -1.221710E+00 2.818962E-05 3.710886E-02 3.362407E-01 6.215674E-01 4.737357E-03 2.892301E-04 4.332389E-09 2.810743E-05 5.357220E-09 4.335131E-09 6.816198E-08
 5.859832E-02 1.200771E-03 4.618532E+03 3.679178E+02 -1.479825E+00 4.929191E-05 7.117382E-02 3.316546E-01 5.935056E-01 3.453284E-03 1.140425E-04 1.632831E-08 4.901890E-05 2.690748E-08 6.876570E-09 2.228878E-07
 5.695200E-02 1.149145E-03 4.753678E+03 3.745906E+02 -1.701337E+00 6.538032E-05 9.935732E-02 3.272349E-01 5.702639E-01 2.938343E-03 7.478942E-05 3.682639E-08 6.480479E-05 7.866592E-08 8.637015E-09 4.514046E-07
 5.530568E-02 1.104701E-03 4.866614E+03 3.812366E+02 -1.978311E+00 8.158582E-05 1.289085E-01 3.224367E-01 5.458798E-01 2.558748E-03 5.313622E-05 7.036653E-08 8.052292E-05 1.867420E-07 1.031776E-08 7.954719E-07
 5.365937E-02 1.064925E-03 4.964882E+03 3.880451E+02 -2.209260E+00 9.785656E-05 1.594129E-01 3.173931E-01 5.206991E-01 2.259501E-03 3.969367E-05 1.201600E-07 9.606364E-05 3.836369E-07 1.193076E-08 1.277194E-06
 5.201305E-02 1.028485E-03 5.052631E+03 3.949533E+02 -2.447157E+00 1.142014E-04 1.906301E-01 3.121738E-01 4.949229E-01 2.014036E-03 3.075203E-05 1.900841E-07 1.113571E-04 7.150884E-07 1.348563E-08 1.925608E-06
 5.036674E-02 9.948710E-04 5.131725E+03 4.020638E+02 -2.671300E+00 1.307019E-04 2.224265E-01 3.068140E-01 4.686622E-01 1.811124E-03 2.472830E-05 2.901710E-07 1.262666E-04 1.306485E-06 1.498292E-08 2.823752E-06
 4.872042E-02 9.629173E-04 5.206029E+03 4.093441E+02 -2.893074E+00 1.474177E-04 2.545176E-01 3.013812E-01 4.421544E-01 1.631846E-03 2.007361E-05 4.188554E-07 1.408061E-04 2.211298E-06 1.644205E-08 3.964974E-06
 4.707410E-02 9.323158E-04 5.276645E+03 4.167992E+02 -3.113293E+00 1.644184E-04 2.868153E-01 2.958954E-01 4.154728E-01 1.471283E-03 1.641479E-05 5.776446E-07 1.549501E-04 3.502250E-06 1.786872E-08 5.370574E-06
 4.542779E-02 9.031016E-04 5.343797E+03 4.244244E+02 -3.333666E+00 1.817222E-04 3.190868E-01 2.903984E-01 3.888098E-01 1.327962E-03 1.355947E-05 7.705671E-07 1.685499E-04 5.296529E-06 1.925698E-08 7.085932E-06
